序号,城市名称,所属地级市,城市规模,单价（元/㎡）
103,烟台市辖区,烟台,大城市,11469
104,廊坊市辖区,廊坊,中等城市,11426
105,秦皇岛市辖区,秦皇岛,大城市,11392
106,榆林市辖区,榆林,中等城市,11345
107,东台市,盐城,小城市,11314
108,呼和浩特市辖区,呼和浩特,大城市,11260
109,日照市辖区,日照,中等城市,11184
110,嵊州市,绍兴,小城市,11172
111,兴化市,泰州,小城市,11122
112,湛江市辖区,湛江,大城市,11013
113,太原市辖区,太原,大城市,10911
114,福鼎市,宁德,小城市,10836
115,东方市,东方,小城市,10806
116,保定市辖区,保定,大城市,10803
117,马鞍山市辖区,马鞍山,中等城市,10803
118,三明市辖区,三明,小城市,10663
119,黄山市辖区,黄山,小城市,10623
120,石狮市,泉州,小城市,10505
121,滕州市,枣庄,小城市,10474
122,潮州市辖区,潮州,中等城市,10380
123,西宁市辖区,西宁,大城市,10329
124,镇江市辖区,镇江,中等城市,10324
125,邯郸市辖区,邯郸,大城市,10278
126,洛阳市辖区,洛阳,大城市,10249
127,琼海市,琼海,小城市,10174
128,济宁市辖区,济宁,大城市,10117
129,都江堰市,成都,小城市,10067
130,咸阳市辖区,咸阳,大城市,9991
131,德州市辖区,德州,中等城市,9893
132,武夷山市,南平,小城市,9878
133,哈尔滨市辖区,哈尔滨,特大城市,9849
134,长春市辖区,长春,大城市,9791
135,泰兴市,泰州,小城市,9729
136,句容市,镇江,小城市,9718
137,江门市辖区,江门,大城市,9693
138,南安市,泉州,小城市,9645
139,巢湖市,合肥,小城市,9630
140,任丘市,沧州,小城市,9566
141,日喀则市辖区,日喀则,小城市,9556
142,滦州市,唐山,小城市,9548
143,福安市,宁德,小城市,9533
144,仪征市,扬州,小城市,9523
145,西昌市,凉山,中等城市,9484
146,仁怀市,遵义,小城市,9478
147,九江市辖区,九江,中等城市,9460
148,简阳市,成都,小城市,9448
149,丹阳市,镇江,小城市,9427
150,威海市辖区,威海,大城市,9394
151,五指山市,五指山,小城市,9389
152,贵阳市辖区,贵阳,大城市,9389
153,承德市辖区,承德,中等城市,9368
154,襄阳市辖区,襄阳,大城市,9347
155,迁安市,唐山,小城市,9342
156,池州市辖区,池州,小城市,9196
157,胶州市,青岛,中等城市,9186
158,腾冲市,保山,小城市,9136
159,崇州市,成都,小城市,9121
160,绵阳市辖区,绵阳,大城市,9117
161,永安市,三明,小城市,9069
162,马尔康市,阿坝,小城市,9067
163,泊头市,沧州,小城市,8943
164,平度市,青岛,小城市,8922
165,儋州市辖区,儋州,小城市,8878
166,淄博市辖区,淄博,大城市,8868
167,长治市辖区,长治,中等城市,8863
168,淮北市辖区,淮北,中等城市,8863
169,武安市,邯郸,小城市,8853
170,柳州市辖区,柳州,大城市,8852
171,天水市辖区,天水,中等城市,8839
172,晋城市辖区,晋城,中等城市,8837
173,潜山市,安庆,小城市,8829
174,邛崃市,成都,小城市,8756
175,安庆市辖区,安庆,中等城市,8743
176,南阳市辖区,南阳,大城市,8722
177,无为市,芜湖,小城市,8675
178,乌鲁木齐市辖区,乌鲁木齐,大城市,8672
179,康定市,甘孜,小城市,8594
180,铜陵市辖区,铜陵,中等城市,8575
181,吉安市辖区,吉安,小城市,8568
182,黄骅市,沧州,小城市,8568
183,上饶市辖区,上饶,中等城市,8534
184,宜春市辖区,宜春,中等城市,8517
185,宜昌市辖区,宜昌,大城市,8509
186,涿州市,保定,小城市,8488
187,阜阳市辖区,阜阳,大城市,8485
188,蚌埠市辖区,蚌埠,中等城市,8471
189,遵化市,唐山,小城市,8424
190,濮阳市辖区,濮阳,中等城市,8423
191,丰城市,宜春,小城市,8390
192,鄂尔多斯市辖区,鄂尔多斯,中等城市,8372
193,庆阳市辖区,庆阳,小城市,8350
194,山南市辖区,山南,小城市,8337
195,汕尾市辖区,汕尾,小城市,8263
196,寿光市,潍坊,中等城市,8255
197,银川市辖区,银川,大城市,8226
